Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Register dan Login Pemberi Dana,Chrome 102.0.5005.61,,,2022-06-02 16:05:03,2022-06-02 16:05:58,55.269s,ERROR
,,,,,,,
Test Cases/Registrasi Pemberi Dana,Chrome 102.0.5005.61,,,2022-06-02 16:05:03,2022-06-02 16:05:55,51.450s,FAILED
Time = SimpleDateFormat(ddHHmmss).format(getInstance().getTime()),Chrome 102.0.5005.61,,,2022-06-02 16:05:04,2022-06-02 16:05:04,0.047s,PASSED
no = 62812 + Time,Chrome 102.0.5005.61,,,2022-06-02 16:05:04,2022-06-02 16:05:04,0.000s,PASSED
Phone = no,Chrome 102.0.5005.61,,,2022-06-02 16:05:04,2022-06-02 16:05:04,0.187s,PASSED
"openBrowser("""")",Chrome 102.0.5005.61,,,2022-06-02 16:05:04,2022-06-02 16:05:08,4.356s,PASSED
maximizeWindow(),Chrome 102.0.5005.61,,,2022-06-02 16:05:08,2022-06-02 16:05:08,0.186s,PASSED
navigateToUrl(url),Chrome 102.0.5005.61,,,2022-06-02 16:05:08,2022-06-02 16:05:12,3.694s,PASSED
"comment(""Masuk ke halaman web login"")",Chrome 102.0.5005.61,,,2022-06-02 16:05:12,2022-06-02 16:05:12,0.028s,PASSED
"verifyElementText(findTestObject(""Daftar/belum punya Akun""), ""Belum memiliki Akun ? Daftar disini"")",Chrome 102.0.5005.61,,,2022-06-02 16:05:12,2022-06-02 16:05:13,0.419s,PASSED
"click(findTestObject(""Daftar/Daftar disini""))",Chrome 102.0.5005.61,,,2022-06-02 16:05:13,2022-06-02 16:05:14,1.610s,PASSED
"comment(""Masuk menuju halaman jenis Akun"")",Chrome 102.0.5005.61,User Memilih Pemberi Dana,,2022-06-02 16:05:14,2022-06-02 16:05:14,0.009s,PASSED
delay(2),Chrome 102.0.5005.61,,,2022-06-02 16:05:14,2022-06-02 16:05:16,2.029s,PASSED
"click(findTestObject(""Daftar/1. Registrasi Pemberi Dana/Pemberi dana""))",Chrome 102.0.5005.61,,,2022-06-02 16:05:16,2022-06-02 16:05:17,0.585s,PASSED
delay(1),Chrome 102.0.5005.61,,,2022-06-02 16:05:17,2022-06-02 16:05:18,1.030s,PASSED
"setText(findTestObject(""Daftar/1. Registrasi Pemberi Dana/Nama lengkap""), ""Malik Mukti"")",Chrome 102.0.5005.61,,,2022-06-02 16:05:18,2022-06-02 16:05:55,36.700s,FAILED
,,,,,,,
Test Cases/Aktivasi Email Alternativ,Chrome 102.0.5005.61,,,2022-06-02 16:05:55,2022-06-02 16:05:58,3.024s,ERROR
"executeJavaScript(""window.open();"", [])",Chrome 102.0.5005.61,,,2022-06-02 16:05:55,2022-06-02 16:05:55,0.155s,PASSED
currentWindow = getWindowIndex(),Chrome 102.0.5005.61,,,2022-06-02 16:05:55,2022-06-02 16:05:55,0.030s,PASSED
switchToWindowIndex(currentWindow + 1),Chrome 102.0.5005.61,,,2022-06-02 16:05:55,2022-06-02 16:05:55,0.098s,PASSED
"navigateToUrl(""https://inboxkitten.com/"")",Chrome 102.0.5005.61,,,2022-06-02 16:05:55,2022-06-02 16:05:57,2.408s,PASSED
"setText(findTestObject(""Aktivasi Email/MailBox""), email)",Chrome 102.0.5005.61,,,2022-06-02 16:05:57,2022-06-02 16:05:58,0.106s,ERROR
,,,,,,,
Test Cases/Login,Chrome 102.0.5005.61,,,2022-06-02 16:05:58,2022-06-02 16:05:58,0.295s,FAILED
"verifyElementText(findTestObject(""Login/Dashboard""), ""Login untuk masuk ke akun Kamu."")",Chrome 102.0.5005.61,,,2022-06-02 16:05:58,2022-06-02 16:05:58,0.181s,FAILED
